######################## Logger for Validator: v2 ######################## 

[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2created Votemsg :  ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 created QC message ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 created QC message ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v2 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2created Votemsg :  ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2: Sending success result to client - c1 ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v2 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:00   		 [ Validator: v2 Client c1 Authentication Successful ]
######################## Logger for Validator: v2 ######################## 

[INFO]: 2021-10-18 02:57:01   		 [ Validator: v2 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v2 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v2created Votemsg :  ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v2 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v2 received Proper Vote Msg from the validator: v2 ]
