######################## Logger for Validator: v3 ######################## 

[INFO]: 2021-10-18 02:56:57   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v3 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:56:57   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 02:56:59   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:00   		 [ Validator: v3 Client c1 Authentication Successful ]
######################## Logger for Validator: v3 ######################## 

[INFO]: 2021-10-18 02:57:01   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v3 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:57:01   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3 adding transaction: c1 - 1 ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 02:57:03   		 [ Validator: v3 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 02:57:05   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:05   		 [ Validator: v3 adding transaction: c1 - 2 ]
[INFO]: 2021-10-18 02:57:05   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:57:05   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-18 02:57:05   		 [ Validator: v3 adding commit for transaction: ['c1 - 1'] ]
[INFO]: 2021-10-18 02:57:07   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:07   		 [ Validator: v3 adding transaction: c1 - 3 ]
[INFO]: 2021-10-18 02:57:07   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:57:07   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 02:57:07   		 [ Validator: v3 adding commit for transaction: ['c1 - 2'] ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 adding transaction: c1 - 4 ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v3 ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 created QC message ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 adding commit for transaction: ['c1 - 3'] ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 created QC message ]
[INFO]: 2021-10-18 02:57:09   		 [ Validator: v3 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 02:57:11   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 02:57:11   		 [ Validator: v3 adding transaction: c1 - 5 ]
[INFO]: 2021-10-18 02:57:11   		 [ Validator: v3 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 02:57:11   		 [ Validator: v3created Votemsg :  ]
